title,url,status,property_type,price,address,city,state,bedrooms,bathrooms,size_m2,image_url
A louer au 1er étage un open space de 700 m2,https://www.mubawab.tn/fr/pa/8219938/a-louer-au-1er-%C3%A9tage-un-open-space-de-700-m2,À louer,Autre,12 000 TND,Le Kram,Le Kram,Le Kram,0,4,700,
"À louer – Studio S0 meublé à My House 1, Chotrana 1",https://www.mubawab.tn/fr/pa/8253720/%C3%A0-louer-%E2%80%93-studio-s0-meubl%C3%A9-%C3%A0-my-house-1-chotrana-1,À louer,Autre,1 100 TND,Chotrana 1,La Soukra,La Soukra,1,1,33,
"À louer – Appartement S1 vide à My House 1, Chotrana 1",https://www.mubawab.tn/fr/pa/8253718/%C3%A0-louer-%E2%80%93-appartement-s1-vide-%C3%A0-my-house-1-chotrana-1,À louer,Appartement,1 150 TND,Chotrana 1,La Soukra,La Soukra,1,1,44,
Location joli appartement pieds dans l'eau,https://www.mubawab.tn/fr/a/8245424/location-joli-appartement-pieds-dans-l-eau,À louer,Appartement,À consulter,La Marsa,La Marsa,La Marsa,2,3,150,
A LOUER 1300 m² open space immeuble Zen LAC I,https://www.mubawab.tn/fr/pa/7468105/a-louer-1300-m%C2%B2-open-space-immeuble-zen-lac-i,À louer,Autre,À consulter,Les Berges Du Lac 1,La Marsa,La Marsa,0,1,1300,
Location étage de villa stnading a el menzah 1,https://www.mubawab.tn/fr/a/8289071/location-%C3%A9tage-de-villa-stnading-a-el-menzah-1,À louer,Villa,2 500 TND,El Menzah 1,El Menzah,El Menzah,3,2,238,
Location villa standing s 4 a mutuelleville,https://www.mubawab.tn/fr/a/8256221/location-villa-standing-s-4-a-mutuelleville,À louer,Villa,3 800 TND,Mutuelle Ville,El Menzah,El Menzah,3,3,400,
JINENE SOUKRA 1: Luxe et Confort à Chotrana 3,https://www.mubawab.tn/fr/p/4083/jinene-soukra-1-luxe-et-confort-%C3%A0-chotrana-3,À louer,Autre, TND,Chotrana 3,La Soukra,La Soukra,0,0,Non spécifié,
Location immeuble meublée a el menzah 1,https://www.mubawab.tn/fr/a/8283597/location-immeuble-meubl%C3%A9e-a-el-menzah-1,À louer,Autre,9 000 TND,El Menzah 1,El Menzah,El Menzah,0,4,450,
Location grand appartement marsa plage,https://www.mubawab.tn/fr/a/8196182/location-grand-appartement-marsa-plage,À louer,Appartement,4 500 TND,La Marsa,La Marsa,La Marsa,3,3,200,
